kabupaten,komoditas,tahun,produksi_ton,luas_panen_ha,produktivitas_ton_per_ha
Kab. Bandung Barat,Cabai (Gabungan Rawit+Besar),2022,,1367.0,
Kab. Bandung Barat,Cabai (Gabungan Rawit+Besar),2023,,1149.0,
Kab. Bandung Barat,Cabai (Gabungan Rawit+Besar),2024,,844.0,
Kab. Bekasi,Cabai (Gabungan Rawit+Besar),2015,,54.0,
Kab. Bekasi,Cabai (Gabungan Rawit+Besar),2016,,33.0,
Kab. Bekasi,Cabai (Gabungan Rawit+Besar),2017,,,
Kab. Bekasi,Cabai (Gabungan Rawit+Besar),2018,,25.0,
Kab. Bekasi,Cabai (Gabungan Rawit+Besar),2019,,18.5,
Kab. Bekasi,Cabai (Gabungan Rawit+Besar),2020,,7.6,
Kab. Bekasi,Cabai (Gabungan Rawit+Besar),2021,,95.25,
Kab. Bekasi,Cabai (Gabungan Rawit+Besar),2022,,91.93,
Kab. Bekasi,Cabai (Gabungan Rawit+Besar),2023,,96.83,
Kab. Bekasi,Cabai (Gabungan Rawit+Besar),2024,,62.74,
Kab. Bogor,Cabai (Gabungan Rawit+Besar),2015,,351.0,
Kab. Bogor,Cabai (Gabungan Rawit+Besar),2016,,437.0,
Kab. Bogor,Cabai (Gabungan Rawit+Besar),2017,,,
Kab. Bogor,Cabai (Gabungan Rawit+Besar),2018,,543.0,
Kab. Bogor,Cabai (Gabungan Rawit+Besar),2019,,512.0,
Kab. Bogor,Cabai (Gabungan Rawit+Besar),2020,,516.18,
Kab. Bogor,Cabai (Gabungan Rawit+Besar),2021,,577.9,
Kab. Bogor,Cabai (Gabungan Rawit+Besar),2022,,733.49,
Kab. Bogor,Cabai (Gabungan Rawit+Besar),2023,,1001.53,
Kab. Bogor,Cabai (Gabungan Rawit+Besar),2024,,1061.11,
Kab. Ciamis,Cabai (Gabungan Rawit+Besar),2015,,546.0,
Kab. Ciamis,Cabai (Gabungan Rawit+Besar),2016,,437.0,
Kab. Ciamis,Cabai (Gabungan Rawit+Besar),2017,,,
Kab. Ciamis,Cabai (Gabungan Rawit+Besar),2018,,517.0,
Kab. Ciamis,Cabai (Gabungan Rawit+Besar),2019,,551.0,
Kab. Ciamis,Cabai (Gabungan Rawit+Besar),2020,,298.0,
Kab. Ciamis,Cabai (Gabungan Rawit+Besar),2021,,412.0,
Kab. Ciamis,Cabai (Gabungan Rawit+Besar),2022,,349.0,
Kab. Ciamis,Cabai (Gabungan Rawit+Besar),2023,,303.0,
Kab. Ciamis,Cabai (Gabungan Rawit+Besar),2024,,284.0,
Kab. Cianjur,Cabai (Gabungan Rawit+Besar),2015,,1257.0,
Kab. Cianjur,Cabai (Gabungan Rawit+Besar),2016,,1976.0,
Kab. Cianjur,Cabai (Gabungan Rawit+Besar),2017,,,
Kab. Cianjur,Cabai (Gabungan Rawit+Besar),2018,,3005.0,
Kab. Cianjur,Cabai (Gabungan Rawit+Besar),2019,,2487.0,
Kab. Cianjur,Cabai (Gabungan Rawit+Besar),2020,,1758.0,
Kab. Cianjur,Cabai (Gabungan Rawit+Besar),2021,,2387.0,
Kab. Cianjur,Cabai (Gabungan Rawit+Besar),2022,,2994.0,
Kab. Cianjur,Cabai (Gabungan Rawit+Besar),2023,,2706.5,
Kab. Cianjur,Cabai (Gabungan Rawit+Besar),2024,,2919.8,
Kab. Cirebon,Cabai (Gabungan Rawit+Besar),2015,,398.0,
Kab. Cirebon,Cabai (Gabungan Rawit+Besar),2016,,694.0,
Kab. Cirebon,Cabai (Gabungan Rawit+Besar),2017,,,
Kab. Cirebon,Cabai (Gabungan Rawit+Besar),2018,,671.0,
Kab. Cirebon,Cabai (Gabungan Rawit+Besar),2019,,655.0,
Kab. Cirebon,Cabai (Gabungan Rawit+Besar),2020,,713.0,
Kab. Cirebon,Cabai (Gabungan Rawit+Besar),2021,,631.0,
Kab. Cirebon,Cabai (Gabungan Rawit+Besar),2022,,680.0,
Kab. Cirebon,Cabai (Gabungan Rawit+Besar),2023,,374.25,
Kab. Cirebon,Cabai (Gabungan Rawit+Besar),2024,,373.5,
Kab. Garut,Cabai (Gabungan Rawit+Besar),2015,,5625.0,
Kab. Garut,Cabai (Gabungan Rawit+Besar),2016,,6001.0,
Kab. Garut,Cabai (Gabungan Rawit+Besar),2017,,,
Kab. Garut,Cabai (Gabungan Rawit+Besar),2018,,7206.0,
Kab. Garut,Cabai (Gabungan Rawit+Besar),2019,,6680.0,
Kab. Garut,Cabai (Gabungan Rawit+Besar),2020,,6646.0,
Kab. Garut,Cabai (Gabungan Rawit+Besar),2021,,7018.0,
Kab. Garut,Cabai (Gabungan Rawit+Besar),2022,,7672.0,
Kab. Garut,Cabai (Gabungan Rawit+Besar),2023,,6902.0,
Kab. Garut,Cabai (Gabungan Rawit+Besar),2024,,8009.0,
Kab. Indramayu,Cabai (Gabungan Rawit+Besar),2015,,692.0,
Kab. Indramayu,Cabai (Gabungan Rawit+Besar),2016,,418.0,
Kab. Indramayu,Cabai (Gabungan Rawit+Besar),2017,,,
Kab. Indramayu,Cabai (Gabungan Rawit+Besar),2018,,394.0,
Kab. Indramayu,Cabai (Gabungan Rawit+Besar),2019,,341.0,
Kab. Indramayu,Cabai (Gabungan Rawit+Besar),2020,,550.0,
Kab. Indramayu,Cabai (Gabungan Rawit+Besar),2021,,859.36,
Kab. Indramayu,Cabai (Gabungan Rawit+Besar),2022,,1078.0,
Kab. Indramayu,Cabai (Gabungan Rawit+Besar),2023,,867.18,
Kab. Indramayu,Cabai (Gabungan Rawit+Besar),2024,,468.29,
Kab. Karawang,Cabai (Gabungan Rawit+Besar),2015,,34.0,
Kab. Karawang,Cabai (Gabungan Rawit+Besar),2016,,30.0,
Kab. Karawang,Cabai (Gabungan Rawit+Besar),2017,,,
Kab. Karawang,Cabai (Gabungan Rawit+Besar),2018,,8.0,
Kab. Karawang,Cabai (Gabungan Rawit+Besar),2019,,14.0,
Kab. Karawang,Cabai (Gabungan Rawit+Besar),2020,,28.0,
Kab. Karawang,Cabai (Gabungan Rawit+Besar),2021,,2.0,
Kab. Karawang,Cabai (Gabungan Rawit+Besar),2022,,9.0,
Kab. Karawang,Cabai (Gabungan Rawit+Besar),2023,,21.0,
Kab. Karawang,Cabai (Gabungan Rawit+Besar),2024,,2.75,
Kab. Kuningan,Cabai (Gabungan Rawit+Besar),2015,,71.0,
Kab. Kuningan,Cabai (Gabungan Rawit+Besar),2016,,142.0,
Kab. Kuningan,Cabai (Gabungan Rawit+Besar),2017,,,
Kab. Kuningan,Cabai (Gabungan Rawit+Besar),2018,,126.0,
Kab. Kuningan,Cabai (Gabungan Rawit+Besar),2019,,104.0,
Kab. Kuningan,Cabai (Gabungan Rawit+Besar),2020,,70.0,
Kab. Kuningan,Cabai (Gabungan Rawit+Besar),2021,,95.0,
Kab. Kuningan,Cabai (Gabungan Rawit+Besar),2022,,124.0,
Kab. Kuningan,Cabai (Gabungan Rawit+Besar),2023,,103.0,
Kab. Kuningan,Cabai (Gabungan Rawit+Besar),2024,,102.0,
Kab. Majalengka,Cabai (Gabungan Rawit+Besar),2015,,1233.0,
Kab. Majalengka,Cabai (Gabungan Rawit+Besar),2016,,1251.0,
Kab. Majalengka,Cabai (Gabungan Rawit+Besar),2017,,,
