kabupaten,komoditas,tahun,produksi_ton,luas_panen_ha,produktivitas_ton_per_ha
Kab. Cianjur,Cabai Besar/Keriting,2021,26203.3,,
Kab. Cianjur,Cabai Besar/Keriting,2022,34111.7,,
Kab. Cianjur,Cabai Besar/Keriting,2023,32456.55,,
Kab. Cianjur,Cabai Besar/Keriting,2024,37857.35,,
Kab. Cirebon,Cabai Besar/Keriting,2015,4153.2,,
Kab. Cirebon,Cabai Besar/Keriting,2016,6048.9,,
Kab. Cirebon,Cabai Besar/Keriting,2017,5549.9,,
Kab. Cirebon,Cabai Besar/Keriting,2018,6498.7,,
Kab. Cirebon,Cabai Besar/Keriting,2019,5564.7,,
Kab. Cirebon,Cabai Besar/Keriting,2020,6173.2,,
Kab. Cirebon,Cabai Besar/Keriting,2021,5643.9,,
Kab. Cirebon,Cabai Besar/Keriting,2022,5897.75,,
Kab. Cirebon,Cabai Besar/Keriting,2023,2912.31,,
Kab. Cirebon,Cabai Besar/Keriting,2024,4162.4,,
Kab. Garut,Cabai Besar/Keriting,2015,75720.8,,
Kab. Garut,Cabai Besar/Keriting,2016,80742.8,,
Kab. Garut,Cabai Besar/Keriting,2017,102385.1,,
Kab. Garut,Cabai Besar/Keriting,2018,91135.4,,
Kab. Garut,Cabai Besar/Keriting,2019,92569.0,,
Kab. Garut,Cabai Besar/Keriting,2020,101318.4,,
Kab. Garut,Cabai Besar/Keriting,2021,105629.7,,
Kab. Garut,Cabai Besar/Keriting,2022,120158.5,,
Kab. Garut,Cabai Besar/Keriting,2023,113345.4,,
Kab. Garut,Cabai Besar/Keriting,2024,105729.7,,
Kab. Majalengka,Cabai Besar/Keriting,2015,9750.0,,
Kab. Majalengka,Cabai Besar/Keriting,2016,11931.9,,
Kab. Majalengka,Cabai Besar/Keriting,2017,12451.7,,
Kab. Majalengka,Cabai Besar/Keriting,2018,13048.9,,
Kab. Majalengka,Cabai Besar/Keriting,2019,12431.4,,
Kab. Majalengka,Cabai Besar/Keriting,2020,7282.6,,
Kab. Majalengka,Cabai Besar/Keriting,2021,9848.2,,
Kab. Majalengka,Cabai Besar/Keriting,2022,6934.0,,
Kab. Majalengka,Cabai Besar/Keriting,2023,7440.75,,
Kab. Majalengka,Cabai Besar/Keriting,2024,7669.63,,
Kab. Sumedang,Cabai Besar/Keriting,2015,4831.7,,
Kab. Sumedang,Cabai Besar/Keriting,2016,5024.0,,
Kab. Sumedang,Cabai Besar/Keriting,2017,5117.4,,
Kab. Sumedang,Cabai Besar/Keriting,2018,4203.3,,
Kab. Sumedang,Cabai Besar/Keriting,2019,5034.8,,
Kab. Sumedang,Cabai Besar/Keriting,2020,6907.1,,
Kab. Sumedang,Cabai Besar/Keriting,2021,4655.6,,
Kab. Sumedang,Cabai Besar/Keriting,2022,4950.8150000000005,,
Kab. Sumedang,Cabai Besar/Keriting,2023,7151.819,,
Kab. Sumedang,Cabai Besar/Keriting,2024,7865.286,,
Kab. Tasikmalaya,Cabai Besar/Keriting,2015,18019.4,,
Kab. Tasikmalaya,Cabai Besar/Keriting,2016,16824.9,,
Kab. Tasikmalaya,Cabai Besar/Keriting,2017,20026.8,,
Kab. Tasikmalaya,Cabai Besar/Keriting,2018,16897.7,,
Kab. Tasikmalaya,Cabai Besar/Keriting,2019,15183.2,,
Kab. Tasikmalaya,Cabai Besar/Keriting,2020,12297.9,,
Kab. Tasikmalaya,Cabai Besar/Keriting,2021,11111.975999999999,,
Kab. Tasikmalaya,Cabai Besar/Keriting,2022,8904.626,,
Kab. Tasikmalaya,Cabai Besar/Keriting,2023,8110.219999999999,,
Kab. Tasikmalaya,Cabai Besar/Keriting,2024,8074.464999999999,,
Kota Sukabumi,Cabai Besar/Keriting,2015,159.5,,
Kota Sukabumi,Cabai Besar/Keriting,2016,83.0,,
Kota Sukabumi,Cabai Besar/Keriting,2017,200.5,,
Kota Sukabumi,Cabai Besar/Keriting,2018,98.0,,
Kota Sukabumi,Cabai Besar/Keriting,2019,66.5,,
Kota Sukabumi,Cabai Besar/Keriting,2020,123.2,,
Kota Sukabumi,Cabai Besar/Keriting,2021,35.833999999999996,,
Kota Sukabumi,Cabai Besar/Keriting,2022,0.0,,
Kota Sukabumi,Cabai Besar/Keriting,2023,13.322999999999999,,
