date,province,regency,commodity,price_type_id,price_type,nominal_price,source_level,responder_name
2019-03-21,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,8650.0,kabupaten,
2019-03-22,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,8650.0,kabupaten,
2019-03-25,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,12350.0,kabupaten,
2019-03-26,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,12350.0,kabupaten,
2019-03-27,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,12350.0,kabupaten,
2019-03-28,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,12350.0,kabupaten,
2019-03-29,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,12350.0,kabupaten,
2019-04-01,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,12350.0,kabupaten,
2019-04-02,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,12350.0,kabupaten,
2019-04-03,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,12350.0,kabupaten,
2019-04-04,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,12350.0,kabupaten,
2019-04-05,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,12350.0,kabupaten,
2019-04-08,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,12350.0,kabupaten,
2019-04-09,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,12350.0,kabupaten,
2019-04-10,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,12350.0,kabupaten,
2019-04-11,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,12350.0,kabupaten,
2019-04-12,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,12350.0,kabupaten,
2019-04-15,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,12350.0,kabupaten,
2019-04-16,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,12350.0,kabupaten,
2019-04-17,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,12350.0,kabupaten,
2019-04-18,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,12350.0,kabupaten,
